title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,publisher_cleaned,release_date,ISBN_13
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,Chad Knowles,15.97,106,4.9,201,91%,8%,1%,0%,0%,6 x 0.24 x 9 inches,7.5 ounces,English,"Independently published (September 21, 2022)",Independently published,"September 21, 2022",979-8354008353
Getting Started with Natural Language Processing,Ekaterina Kochmar,39.99,456,4,4,48%,52%,0%,0%,0%,7.38 x 1.1 x 9.25 inches,1.75 pounds,English,"Manning (October 18, 2022)",Manning,"October 18, 2022",978-1617296765
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields,24.99,249,4.6,"1,358",72%,18%,7%,1%,2%,7.5 x 0.57 x 9.25 inches,15.5 ounces,English,"ClydeBank Media LLC; Illustrated edition (November 18, 2019)",ClydeBank Media LLC; Illustrated edition,"November 18, 2019",978-1945051753
Python in easy steps,Mike McGrath,10.69,192,4.6,386,74%,14%,8%,2%,2%,7.25 x 0.5 x 9 inches,15.2 ounces,English,"In Easy Steps Limited; 2nd edition (August 28, 2018)",In Easy Steps Limited; 2nd edition,"August 28, 2018",978-1840788129
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),Programming Languages Academy,19.38,234,4.4,56,73%,8%,10%,4%,4%,6 x 0.53 x 9 inches,11.4 ounces,Spanish,"Independently published (May 2, 2020)",Independently published,"May 2, 2020",979-8642649534
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"Antoine Jacquier, Oleksiy Kondratyev",49.99,442,4.9,14,90%,10%,0%,0%,0%,7.5 x 1 x 9.25 inches,1.67 pounds,English,"Packt Publishing (October 31, 2022)",Packt Publishing,"October 31, 2022",978-1801813570
Python Tricks: A Buffet of Awesome Python Features,Dan Bader,29.99,301,4.7,"1,330",76%,17%,5%,1%,1%,6 x 0.68 x 9 inches,14.3 ounces,English,"Dan Bader; 1st edition (October 25, 2017)",Dan Bader; 1st edition,"October 25, 2017",978-1775093305
Think Bayes: Bayesian Statistics in Python (O'reilly),Allen B. Downey,24.2,338,4.5,55,76%,8%,10%,3%,3%,7 x 0.75 x 9 inches,1.19 pounds,English,"O'Reilly Media; 2nd edition (June 8, 2021)",O'Reilly Media; 2nd edition,"June 8, 2021",978-1492089469
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,68.59,550,4.2,46,66%,13%,9%,3%,9%,7 x 1.19 x 9.19 inches,2.04 pounds,English,"O'Reilly Media; 2nd edition (January 31, 2023)",O'Reilly Media; 2nd edition,"January 31, 2023",978-1098121228
Data Science for Supply Chain Forecasting,Nicolas Vandeput,51.95,280,4.6,69,73%,15%,10%,2%,0%,9.5 x 0.7 x 6.6 inches,1.16 pounds,English,"De Gruyter; 2nd edition (March 22, 2021)",De Gruyter; 2nd edition,"March 22, 2021",978-3110671100
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,50.99,1012,4.7,172,86%,7%,2%,3%,2%,7 x 2 x 9.25 inches,3.53 ounces,English,"O'Reilly Media; 2nd edition (May 10, 2022)",O'Reilly Media; 2nd edition,"May 10, 2022",978-1492056355
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,Leonard J. Ledger,15.97,88,4.9,264,94%,4%,1%,2%,0%,8.5 x 0.2 x 11 inches,9.9 ounces,English,"Independently published (September 24, 2022)",Independently published,"September 24, 2022",979-8354411122
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,Mike Cohen,54.99,328,4.1,4,70%,30%,0%,0%,0%,7 x 0.5 x 9.25 inches,1.5 pounds,English,"O'Reilly Media; 1st edition (October 18, 2022)",O'Reilly Media; 1st edition,"October 18, 2022",978-1098120610
Coding Games in Python (Computer Coding for Kids),DK,13.99,224,4.5,274,70%,17%,6%,4%,4%,7.75 x 0.63 x 9.19 inches,1.54 pounds,English,"DK Children; Illustrated edition (July 3, 2018)",DK Children; Illustrated edition,"July 3, 2018",978-1465473615
Think Python: How to Think Like a Computer Scientist,Allen B. Downey,28.99,289,4.6,509,78%,13%,8%,1%,1%,7.01 x 0.61 x 9.17 inches,1.14 pounds,English,"O'Reilly Media; 2nd edition (January 26, 2016)",O'Reilly Media; 2nd edition,"January 26, 2016",978-1491939369
Python for Algorithmic Trading: From Idea to Cloud Deployment,Yves Hilpisch,44.49,380,4.3,102,67%,14%,9%,5%,5%,7 x 0.9 x 9.1 inches,3.53 ounces,English,"O'Reilly Media; 1st edition (December 8, 2020)",O'Reilly Media; 1st edition,"December 8, 2020",978-1492053354
Python for Data Science: A Hands-On Introduction,Yuli Vasiliev,27.99,240,4.6,13,79%,10%,11%,0%,0%,7 x 0.71 x 9.25 inches,13 ounces,English,"No Starch Press (August 2, 2022)",No Starch Press,"August 2, 2022",978-1718502208
Practical Deep Learning: A Python-Based Introduction,Ronald T. Kneusel,36.99,464,4.7,38,82%,14%,4%,0%,0%,7.06 x 1.13 x 9.25 inches,1.94 pounds,English,"No Starch Press (February 23, 2021)",No Starch Press,"February 23, 2021",978-1718500747
Murach's Python for Data Analysis (Training & Reference),Scott Mccoy,59.2,559,4.4,26,68%,21%,5%,6%,,7.75 x 1.5 x 9.75 inches,2.8 pounds,English,"Mike Murach & Associates Inc (August 30, 2021)",Mike Murach & Associates Inc,"August 30, 2021",978-1943872763
Robust Python: Write Clean and Maintainable Code,Patrick Viafore,32.99,380,4.5,57,73%,15%,6%,2%,4%,7 x 1 x 9 inches,1.33 pounds,English,"O'Reilly Media; 1st edition (August 3, 2021)",O'Reilly Media; 1st edition,"August 3, 2021",978-1098100667
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS",Joe Webinar,14,175,4.6,6,65%,35%,0%,0%,0%,7 x 0.4 x 10 inches,14.4 ounces,English,"Independently published (February 21, 2022)",Independently published,"February 21, 2022",979-8420836248
Learning Spark: Lightning-Fast Data Analytics,"Jules Damji, Brooke Wenig, Tathagata Das, Denny Lee",40.99,397,4.7,171,80%,16%,2%,2%,1%,7.25 x 1 x 9.25 inches,1.4 pounds,English,"O'Reilly Media; 2nd edition (August 25, 2020)",O'Reilly Media; 2nd edition,"August 25, 2020",978-1492050049
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,"Benjamin Bengfort, Rebecca Bilbro, Tony Ojeda",44.99,332,4.4,76,63%,25%,4%,8%,0%,7 x 0.6 x 9 inches,1.47 pounds,English,"O'Reilly Media; 1st edition (July 17, 2018)",O'Reilly Media; 1st edition,"July 17, 2018",978-1491963043
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation",Tarek A. Atwan,49.99,630,4.8,16,78%,22%,0%,0%,0%,7.5 x 1.42 x 9.25 inches,2.36 pounds,English,"Packt Publishing (June 30, 2022)",Packt Publishing,"June 30, 2022",978-1801075541
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data",Anthony DeBarros,27.99,464,4.8,84,86%,8%,3%,3%,0%,7 x 1.04 x 9.25 inches,2.05 pounds,English,"No Starch Press; 2nd edition (January 25, 2022)",No Starch Press; 2nd edition,"January 25, 2022",978-1718501065
Dyadic Data Analysis (Methodology in the Social Sciences),"David A. Kenny, Deborah A. Kashy, William L. Cook, Jeffry A. Simpson",55.32,458,4.4,24,73%,12%,7%,7%,0%,6 x 0.94 x 9 inches,1.45 pounds,English,"The Guilford Press; 1st edition (November 26, 2020)",The Guilford Press; 1st edition,"November 26, 2020",978-1462546138
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic),John Tukey,105.99,720,4.9,10,94%,6%,0%,0%,0%,6.55 x 1.7 x 9.3 inches,2.4 pounds,English,"Pearson; 1st edition (April 18, 2019)",Pearson; 1st edition,"April 18, 2019",978-0134995458
Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,"Gwen Shapira, Todd Palino, Rajini Sivaram, Krit Petty",31.99,488,4.8,100,81%,16%,3%,0%,0%,7 x 1 x 9 inches,1.7 pounds,English,"O'Reilly Media; 2nd edition (November 30, 2021)",O'Reilly Media; 2nd edition,"November 30, 2021",978-1492043089
An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report,"Lisa Daniels, Nicholas W. Minot",75.24,392,4.6,32,69%,22%,9%,0%,0%,7.38 x 0.89 x 9.13 inches,1.52 pounds,English,"SAGE Publications, Inc; 1st edition (January 29, 2019)","SAGE Publications, Inc; 1st edition","January 29, 2019",978-1506371832
"Microsoft 365 Excel: The Only App That Matters: Calculations, Analytics, Modeling, Data Analysis and Dashboard Reporting for the New Era of Dynamic Data Driven Decision Making & Insight",Mike Girvin,34.95,824,5,63,100%,0%,0%,0%,0%,8 x 1.86 x 10.75 inches,3.95 pounds,English,"Holy Macro! Books (August 1, 2022)",Holy Macro! Books,"August 1, 2022",978-1615470709
Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,1.69,304,4.6,"2,362",72%,19%,6%,2%,1%,5.5 x 0.8 x 8.2 inches,7.1 ounces,English,"W. W. Norton & Company; 1st edition (January 13, 2014)",W. W. Norton & Company; 1st edition,"January 13, 2014",978-0393347777
Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,"Neal Ford, Mark Richards, Pramod Sadalage, Zhamak Dehghani",30.99,459,4.6,232,76%,14%,5%,2%,2%,7 x 0.75 x 9.25 inches,1.65 pounds,English,"O'Reilly Media; 1st edition (November 30, 2021)",O'Reilly Media; 1st edition,"November 30, 2021",978-1492086895
Analyzing Social Networks Using R,"Stephen P. Borgatti, Martin G. Everett, Jeffrey C. Johnson, Filip Agneessens",52.21,384,5,1,100%,0%,0%,0%,0%,6.69 x 0.79 x 9.61 inches,1.46 pounds,English,"SAGE Publications Ltd; 1st edition (July 20, 2022)",SAGE Publications Ltd; 1st edition,"July 20, 2022",978-1529722475
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",Mark Reed,22.58,346,4.6,281,77%,13%,5%,3%,2%,7 x 0.78 x 10 inches,1.46 pounds,English,"Independently published (July 10, 2022)",Independently published,"July 10, 2022",979-8840191583
"Data Analysis with Python: Introducing NumPy, Pandas, Matplotlib, and Essential Elements of Python Programming (English Edition)",Rituraj Dixit,29.95,276,3,2,50%,50%,0%,0%,0%,7.5 x 0.63 x 9.25 inches,1.06 pounds,English,"BPB Publications (August 20, 2022)",BPB Publications,"August 20, 2022",978-9355510655
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","Paul Deitel, Harvey Deitel",97.99,880,4.7,297,82%,10%,2%,3%,2%,7 x 1.45 x 9.1 inches,2.83 pounds,English,"Pearson; 1st edition (February 15, 2019)",Pearson; 1st edition,"February 15, 2019",978-0135404676
Thematic Analysis: A Practical Guide,"Virginia Braun, Victoria Clarke",48.99,376,4.9,229,90%,7%,2%,1%,0%,6.75 x 1 x 9.25 inches,1.41 pounds,English,"SAGE Publications Ltd; 1st edition (December 15, 2021)",SAGE Publications Ltd; 1st edition,"December 15, 2021",978-1473953246
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),"David Ruppert, David S. Matteson",71.91,745,4.3,42,70%,12%,6%,7%,6%,6.14 x 1.56 x 9.21 inches,30.2 pounds,English,"Springer; 2nd ed. 2015 edition (April 22, 2015)",Springer; 2nd ed. 2015 edition,"April 22, 2015",978-1493926138
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",Al Sweigart,26.49,592,4.7,"2,672",82%,12%,3%,1%,1%,7 x 1.31 x 9.31 inches,3.53 ounces,English,"No Starch Press; 2nd edition (November 12, 2019)",No Starch Press; 2nd edition,"November 12, 2019",978-1593279929
Data Structures and Algorithm Analysis in Java: International Edition,Mark Allen Weiss,69,640,4.4,101,73%,12%,5%,5%,5%,7.4 x 1.43 x 9.13 inches,1.85 pounds,English,"Pearson Education; International ed of 3rd revised ed edition (January 1, 2012)",Pearson Education; International ed of 3rd revised ed edition,"January 1, 2012",978-0273752110
Business Analysis For Dummies,Kupe Kupersmith,18.39,384,4.4,527,70%,14%,10%,3%,3%,7.2 x 1 x 9 inches,1.51 pounds,English,"For Dummies; 1st edition (July 22, 2013)",For Dummies; 1st edition,"July 22, 2013",978-1118510582
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",Santos Ozoemena,11.97,216,5,21,100%,0%,0%,0%,0%,6.69 x 0.49 x 9.61 inches,1 pounds,English,"Independently published (October 31, 2022)",Independently published,"October 31, 2022",979-8803622086
CompTIA Data+ Study Guide: Exam DA0-001,"Mike Chapple, Sharif Nijim",34.49,368,4.6,44,77%,12%,8%,3%,0%,7.38 x 0.83 x 9.25 inches,1.35 pounds,English,"Sybex; 1st edition (March 25, 2022)",Sybex; 1st edition,"March 25, 2022",978-1119845256
RNA Sequencing: Principles and Data Analysis,Lara Ozkan,25,118,4.4,23,60%,27%,7%,6%,0%,5 x 0.28 x 8 inches,4.6 ounces,English,"Independently published (May 1, 2020)",Independently published,"May 1, 2020",979-8680736388
Analysis of Panel Data (Econometric Society Monographs),Cheng Hsiao,45.98,500,5,3,100%,0%,0%,0%,0%,6.5 x 1.25 x 9.25 inches,2.01 pounds,English,"Cambridge University Press; 4th edition (July 7, 2022)",Cambridge University Press; 4th edition,"July 7, 2022",978-1009060752
R For Dummies,"Andrie de Vries, Joris Meys",17.99,432,4.4,493,66%,22%,8%,2%,3%,7.4 x 1.1 x 9.1 inches,1.66 pounds,English,"For Dummies; 2nd edition (July 7, 2015)",For Dummies; 2nd edition,"July 7, 2015",978-1119055808
Excel Dashboards & Reports For Dummies (For Dummies (Computer/Tech)),Michael Alexander,28.49,384,4.4,10,86%,14%,0%,0%,0%,7.38 x 0.87 x 9.25 inches,1.1 pounds,English,"For Dummies; 4th edition (March 18, 2022)",For Dummies; 4th edition,"March 18, 2022",978-1119844396
"Spectrum Grades 6-8 Data Analysis & Probability Workbook—6th-8th Grade State Standards for Calculating Statistics, Probabilities, and Graph Data for Homeschool or Classroom (128 pgs)",Spectrum,25,128,4.6,142,76%,13%,6%,2%,3%,8.38 x 0.31 x 10.88 inches,9.9 ounces,English,"Spectrum; Workbook edition (February 25, 2015)",Spectrum; Workbook edition,"February 25, 2015",978-1483816630
Decisions Over Decimals: Striking the Balance between Intuition and Information,"Paul F. Magnone, Christopher J. Frank, Oded Netzer",31.3,256,4.9,28,95%,5%,0%,0%,0%,6.2 x 1.1 x 9.1 inches,1 pounds,English,"Wiley; 1st edition (October 4, 2022)",Wiley; 1st edition,"October 4, 2022",978-1119898481
Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,Arthur Fletcher,12.99,129,4.7,187,76%,20%,1%,2%,1%,6 x 0.3 x 9 inches,9 ounces,English,"Independently published (November 14, 2022)",Independently published,"November 14, 2022",979-8363702990
Multilevel and Longitudinal Modeling with IBM SPSS (Quantitative Methodology Series),"Ronald H. Heck, Scott L. Thomas, Lynn N. Tabata",56.95,484,5,1,100%,0%,0%,0%,0%,8.27 x 1.12 x 11.02 inches,2.01 pounds,English,"Routledge; 3rd edition (April 12, 2022)",Routledge; 3rd edition,"April 12, 2022",978-0367424619
Talent Intelligence: Use Business and People Data to Drive Organizational Performance,Toby Culshaw,41.99,256,5,4,100%,0%,0%,0%,0%,6.25 x 0.75 x 9.25 inches,14.1 ounces,English,"Kogan Page; 1st edition (October 25, 2022)",Kogan Page; 1st edition,"October 25, 2022",978-1398607231
Fundamentals of Music Processing: Using Python and Jupyter Notebooks,Meinard Müller,77.07,526,5,3,100%,0%,0%,0%,0%,7.8 x 1.1 x 9.4 inches,2.42 pounds,English,"Springer; 2nd ed. 2021 edition (April 10, 2021)",Springer; 2nd ed. 2021 edition,"April 10, 2021",978-3030698072
Statistics for the Trading Floor: Data Science for Investing (For The Trading Floor Series),Patrick Boyle,27.99,306,4.3,72,67%,15%,4%,6%,8%,6.69 x 0.69 x 9.61 inches,1.09 pounds,English,"Independently published (May 14, 2020)",Independently published,"May 14, 2020",979-8644826551
An Introduction to Categorical Data Analysis,Alan Agresti,121.99,400,4.4,54,69%,13%,11%,3%,5%,6.4 x 1 x 9.3 inches,1.52 pounds,English,"Wiley-Interscience; 2nd edition (March 23, 2007)",Wiley-Interscience; 2nd edition,"March 23, 2007",978-0471226185
Data-Driven Organization Design: Delivering Perpetual Performance Gains Through the Organizational System,Rupert Morrison,48.17,440,5,4,100%,0%,0%,0%,0%,6.1 x 0.98 x 9.25 inches,1.63 pounds,English,"Kogan Page; 2nd edition (October 26, 2021)",Kogan Page; 2nd edition,"October 26, 2021",978-1398603264
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)),Joseph Schmuller,22.49,576,4,19,50%,21%,16%,12%,0%,7.38 x 1.3 x 9.25 inches,1.6 pounds,English,"For Dummies; 5th edition (December 30, 2021)",For Dummies; 5th edition,"December 30, 2021",978-1119844549
Think Stats: Exploratory Data Analysis,Allen B. Downey,25.49,226,4.2,137,65%,15%,7%,6%,7%,7 x 0.51 x 9.19 inches,14.1 ounces,English,"O'Reilly Media; 2nd edition (November 11, 2014)",O'Reilly Media; 2nd edition,"November 11, 2014",978-1491907337
Data for All,John K. Thompson,49.99,230,4.7,26,80%,15%,6%,0%,0%,7.38 x 0.69 x 9.25 inches,11.5 ounces,English,"Manning (February 28, 2023)",Manning,"February 28, 2023",978-1633438774
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",Brady Ellison,24.95,472,4.6,108,79%,10%,7%,2%,1%,6 x 1.07 x 9 inches,1.63 pounds,English,"Independently published (February 4, 2022)",Independently published,"February 4, 2022",979-8410695930
"Statistical Analysis of fMRI Data, second edition (The MIT Press)",F. Gregory Ashby,59.36,568,5,2,100%,0%,0%,0%,0%,7.31 x 1.21 x 9.31 inches,2.15 pounds,English,"The MIT Press; second edition (September 17, 2019)",The MIT Press; second edition,"September 17, 2019",978-0262042680
Categorical Data Analysis (Wiley Series in Probability and Statistics),Alan Agresti,31.3,734,4.4,24,61%,24%,12%,3%,0%,6.5 x 1.5 x 9.5 inches,2.48 pounds,English,"Wiley-Interscience; 2nd edition (July 22, 2002)",Wiley-Interscience; 2nd edition,"July 22, 2002",978-0471360933
"Microsoft Office 365 For Beginners: The 1# Crash Course From Beginners To Advanced. Easy Way to Master The Whole Suite in no Time | Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams & Access",Leonard J. Ledger,18.97,131,5,442,97%,3%,0%,0%,0%,8.5 x 0.3 x 11 inches,14.4 ounces,English,"Independently published (September 26, 2022)",Independently published,"September 26, 2022",979-8354840113
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,Scott V. Burger,40.49,226,4.1,21,59%,9%,19%,7%,7%,7 x 0.48 x 9.19 inches,1.47 pounds,English,"O'Reilly Media; 1st edition (April 17, 2018)",O'Reilly Media; 1st edition,"April 17, 2018",978-1491976449
Statistical Analysis with R For Dummies (For Dummies (Computers)),Joseph Schmuller,19.59,464,4.6,279,70%,22%,5%,2%,1%,7.4 x 1.1 x 9.1 inches,1.34 pounds,English,"For Dummies; 1st edition (March 20, 2017)",For Dummies; 1st edition,"March 20, 2017",978-1119337065
Hands-On Exploratory Data Analysis with R: Become an expert in exploratory data analysis using R packages,"Radhika Datar, Harish Garg",30.99,266,3.4,7,22%,35%,21%,22%,0%,7.5 x 0.6 x 9.25 inches,1.02 pounds,English,"Packt Publishing (May 31, 2019)",Packt Publishing,"May 31, 2019",978-1789804379
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences,"Michelle Suzanne Salmona, Eli Lieber, Dan Kaczynski",48.99,280,4.3,19,64%,16%,12%,7%,0%,7.38 x 0.64 x 9.13 inches,1.04 pounds,English,"SAGE Publications, Inc; 1st edition (September 21, 2019)","SAGE Publications, Inc; 1st edition","September 21, 2019",978-1506397818
Qualitative Data Analysis with NVivo,"Kristi Jackson, Pat Bazeley",47.85,376,4.6,110,77%,14%,5%,1%,2%,6.69 x 0.85 x 9.53 inches,1.39 pounds,English,"SAGE Publications Ltd; Third edition (May 31, 2019)",SAGE Publications Ltd; Third edition,"May 31, 2019",978-1526449948
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)",Agresti,92.83,394,4.4,48,64%,19%,12%,5%,0%,7.2 x 1.1 x 10.1 inches,1.55 pounds,English,"Wiley; 3rd edition (November 5, 2018)",Wiley; 3rd edition,"November 5, 2018",978-1119405269
"Pharmacokinetic and Pharmacodynamic Data Analysis: Concepts and Applications, Second Edition","Johan Gabrielsson, Daniel Weiner",233.6,1040,4.4,14,80%,6%,6%,8%,0%,6.9 x 2 x 9.6 inches,4.45 pounds,English,"Swedish Pharmaceutical Press; 5th edition (January 26, 2017)",Swedish Pharmaceutical Press; 5th edition,"January 26, 2017",978-9198299106
"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach",Sylvia Moestl Vasilik,27.49,125,4.4,493,69%,17%,5%,3%,6%,7.5 x 0.32 x 9.25 inches,9.6 ounces,English,"Independently published (March 13, 2017)",Independently published,"March 13, 2017",978-1520807638
R in Action: Data Analysis and Graphics with R,Dr. Rob Kabacoff,51,608,4.6,254,77%,13%,5%,2%,3%,7.38 x 1.3 x 9.25 inches,1.98 pounds,English,"Manning; 2nd edition (June 6, 2015)",Manning; 2nd edition,"June 6, 2015",978-1617291388
Black Feminism in Qualitative Inquiry: A Mosaic for Writing Our Daughter's Body (Futures of Data Analysis in Qualitative Research),Venus E. Evans-Winters,38.81,146,4.9,51,90%,7%,3%,0%,0%,6.14 x 0.36 x 9.21 inches,8 ounces,English,"Routledge; 1st edition (February 7, 2019)",Routledge; 1st edition,"February 7, 2019",978-1138486225
Everyday Adventures with Unruly Data,Melanie Feinberg,35,336,5,2,100%,0%,0%,0%,0%,6 x 0.85 x 9 inches,14.4 ounces,English,"The MIT Press (October 11, 2022)",The MIT Press,"October 11, 2022",978-0262544405
Machine Learning: A First Course for Engineers and Scientists,"Andreas Lindholm, Niklas Wahlström, Fredrik Lindsten, Thomas B. Schön",69.99,350,5,4,100%,0%,0%,0%,0%,7.5 x 0.75 x 10.5 inches,1.94 pounds,English,"Cambridge University Press; New edition (June 2, 2022)",Cambridge University Press; New edition,"June 2, 2022",978-1108843607
Python Data Analysis - Second Edition,Armando Fandango,51.99,330,3.9,9,44%,19%,20%,16%,0%,7.5 x 0.75 x 9.25 inches,1.25 pounds,English,"Packt Publishing; 2nd Revised edition (March 27, 2017)",Packt Publishing; 2nd Revised edition,"March 27, 2017",978-1787127487
Malware Data Science: Attack Detection and Attribution,"Joshua Saxe, Hillary Sanders",44.83,272,4.6,93,73%,17%,8%,1%,1%,7 x 0.69 x 9.31 inches,1.37 pounds,English,"No Starch Press (September 25, 2018)",No Starch Press,"September 25, 2018",978-1593278595
"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)",Jeffrey M. Wooldridge,115,1096,4.5,119,76%,13%,4%,3%,4%,8.25 x 1.72 x 9.31 inches,4.1 pounds,English,"The MIT Press; second edition (October 1, 2010)",The MIT Press; second edition,"October 1, 2010",978-0262232586
Become a Python Data Analyst: Perform exploratory data analysis and gain insight into scientific computing using Python,Alvaro Fuentes,24.99,178,4.8,10,77%,23%,0%,0%,0%,7.5 x 0.41 x 9.25 inches,11.2 ounces,English,"Packt Publishing (August 31, 2018)",Packt Publishing,"August 31, 2018",978-1789531701
Machine Learning Bookcamp: Build a portfolio of real-life projects,Alexey Grigorev,35.99,472,4.5,14,81%,10%,9%,0%,0%,7.38 x 0.6 x 9.25 inches,1.85 pounds,English,"Manning (November 23, 2021)",Manning,"November 23, 2021",978-1617296819
